id,type,src,dst,app,latency,message,ctime,size,buffer
307,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,4400,20,4
308,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,4400,20,5
309,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,4500,20009999,0
310,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,4500,20009999,1
311,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,4500,20,2
313,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,4500,20,3
314,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,4500,20,4
315,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,4500,20,5
316,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,4600,20009999,0
317,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,4600,20009999,1
318,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,4600,20,2
320,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,4600,20,3
321,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,4600,20,4
322,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,4600,20,5
323,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,4700,20009999,0
324,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,4700,20009999,1
325,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,4700,20,2
327,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,4700,20,3
328,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,4700,20,4
329,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,4700,20,5
330,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,4800,20009999,0
331,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,4800,20009999,1
332,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,4800,20,2
334,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,4800,20,3
335,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,4800,20,4
336,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,4800,20,5
337,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,4900,20009999,0
338,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,4900,20009999,1
339,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,4900,20,2
341,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,4900,20,3
342,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,4900,20,4
343,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,4900,20,5
344,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,5000,20009999,0
345,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,5000,20009999,1
346,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,5000,20,2
348,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,5000,20,3
349,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,5000,20,4
350,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,5000,20,5
351,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,5100,20009999,0
352,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,5100,20009999,1
353,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,5100,20,2
355,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,5100,20,3
356,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,5100,20,4
357,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,5100,20,5
358,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,5200,20009999,0
359,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,5200,20009999,1
360,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,5200,20,2
362,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,5200,20,3
363,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,5200,20,4
364,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,5200,20,5
365,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,5300,20009999,0
366,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,5300,20009999,1
367,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,5300,20,2
369,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,5300,20,3
370,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,5300,20,4
371,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,5300,20,5
372,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,5400,20009999,0
373,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,5400,20009999,1
374,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,5400,20,2
376,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,5400,20,3
377,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,5400,20,4
378,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,5400,20,5
379,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,5500,20009999,0
380,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,5500,20009999,1
381,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,5500,20,2
383,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,5500,20,3
384,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,5500,20,4
385,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,5500,20,5
386,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,5600,20009999,0
387,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,5600,20009999,1
388,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,5600,20,2
390,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,5600,20,3
391,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,5600,20,4
392,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,5600,20,5
393,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,5700,20009999,0
394,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,5700,20009999,1
395,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,5700,20,2
397,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,5700,20,3
398,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,5700,20,4
